epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3025,1.19598,1.38559,1.20748,0.65083,0.61133,0.67299,0.48535,1.03548,1.15396,1.06168,7.14e-06,7.14e-06,7.14e-06
2,84.128,1.23468,1.44943,1.24725,0.65786,0.5988,0.66546,0.48092,1.03091,1.14691,1.05744,1.39385e-05,1.39385e-05,1.39385e-05
3,127.104,1.20527,1.4195,1.23981,0.73619,0.59459,0.67299,0.49004,1.03344,1.14895,1.05597,1.90876e-05,1.90876e-05,1.90876e-05
4,169.313,1.22346,1.39668,1.2362,0.72907,0.59491,0.65801,0.46522,1.03529,1.14926,1.05935,2.25874e-05,2.25874e-05,2.25874e-05
5,211.182,1.20657,1.31264,1.21424,0.73511,0.58859,0.65037,0.46711,1.03964,1.14245,1.05828,2.44378e-05,2.44378e-05,2.44378e-05
6,253.657,1.13935,1.2615,1.19713,0.73146,0.58309,0.64785,0.464,1.04222,1.13806,1.05689,2.4639e-05,2.4639e-05,2.4639e-05
7,295.402,1.14986,1.28139,1.20367,0.72143,0.57693,0.64512,0.46601,1.04149,1.12589,1.05469,2.31907e-05,2.31907e-05,2.31907e-05
8,334.305,1.16737,1.18484,1.1917,0.72561,0.58391,0.64805,0.4617,1.04394,1.12793,1.05451,2.00932e-05,2.00932e-05,2.00932e-05
9,374.65,1.07125,1.10609,1.17487,0.70943,0.59023,0.64441,0.45829,1.04445,1.12378,1.05054,1.53462e-05,1.53462e-05,1.53462e-05
10,414.822,1.09462,1.09886,1.17334,0.69562,0.59406,0.64462,0.45848,1.04687,1.1243,1.05271,8.94999e-06,8.94999e-06,8.94999e-06
